iter	Passed	Remaining
558	3214	2535
559	3216	2526
560	3217	2518
561	3220	2509
562	3221	2500
563	3223	2491
564	3224	2482
565	3225	2473
566	3227	2464
567	3228	2455
568	3230	2447
569	3232	2438
570	3234	2429
571	3236	2421
572	3237	2412
573	3239	2404
574	3241	2395
575	3243	2387
576	3245	2379
577	3246	2370
578	3248	2361
579	3249	2353
580	3250	2344
581	3252	2336
582	3254	2327
583	3255	2319
584	3257	2310
585	3259	2302
586	3260	2294
587	3262	2286
588	3264	2277
589	3266	2269
590	3267	2261
591	3269	2253
592	3270	2244
593	3272	2236
594	3274	2228
595	3276	2220
596	3277	2212
597	3278	2204
598	3280	2196
599	3282	2188
600	3283	2180
601	3285	2172
602	3287	2164
603	3288	2156
604	3290	2148
605	3291	2140
606	3293	2132
607	3295	2124
608	3297	2116
609	3298	2109
610	3300	2101
611	3302	2093
612	3303	2085
613	3305	2078
614	3307	2070
615	3309	2062
616	3310	2055
617	3312	2047
618	3313	2039
619	3315	2032
620	3317	2024
621	3318	2017
622	3320	2009
623	3322	2001
624	3324	1994
625	3325	1986
626	3327	1979
627	3330	1972
628	3331	1965
629	3333	1957
630	3335	1950
631	3337	1943
632	3339	1936
633	3340	1928
634	3342	1921
635	3344	1914
636	3346	1907
637	3348	1900
638	3349	1892
639	3351	1885
640	3353	1878
641	3354	1870
642	3356	1863
643	3357	1856
644	3359	1849
645	3361	1842
646	3363	1834
647	3364	1827
648	3366	1820
649	3368	1813
650	3369	1806
651	3371	1799
652	3372	1792
653	3374	1785
654	3376	1778
655	3378	1771
656	3380	1764
657	3382	1757
658	3384	1751
659	3385	1744
660	3387	1737
661	3389	1730
662	3390	1723
663	3392	1716
664	3394	1709
665	3395	1703
666	3397	1696
667	3398	1689
668	3400	1682
669	3401	1675
670	3403	1668
671	3405	1662
672	3406	1655
673	3408	1648
674	3409	1641
675	3410	1634
676	3412	1628
677	3414	1621
678	3415	1614
679	3417	1608
680	3418	1601
681	3420	1594
682	3422	1588
683	3423	1581
684	3425	1575
685	3427	1568
686	3428	1562
687	3430	1555
688	3432	1549
689	3433	1542
690	3435	1536
691	3437	1529
692	3438	1523
693	3440	1517
694	3442	1510
695	3443	1504
696	3444	1497
697	3446	1491
698	3448	1484
699	3450	1478
700	3451	1472
701	3453	1466
702	3455	1459
703	3457	1453
704	3458	1447
705	3460	1440
706	3461	14370707	3463	14270708	3465	14270709	3466	141709	4087	1669
710	4089	1662
711	4090	1654
712	4093	1647
713	4095	1640
714	4097	1633
715	4099	1626
716	4101	1618
717	4106	1612
718	4108	1605
719	4112	1599
720	4114	1592
721	4118	1585
722	4120	1578
723	4121	1571
724	4123	1564
725	4125	1556
726	4126	1549
727	4128	1542
728	4132	1536
729	4133	1528
